"","18COL","18CS","18GC","18RF","18VC","19COL","19CS","19HAY","19TA","19VC"
"18COL",1.11455,-0.67124,0.84325,-0.41064,-0.21745,0.43245,-0.28952,-0.03539,-0.37401,-0.39199
"18CS",-0.67124,1.80617,-0.69069,0.41607,0.25822,-0.46457,0.05183,-0.26996,-0.19816,-0.23768
"18GC",0.84325,-0.69069,0.9993,-0.26069,-0.18565,0.40519,-0.39434,0.17576,-0.42346,-0.46865
"18RF",-0.41064,0.41607,-0.26069,1.09419,-0.21756,-0.27828,-0.08294,-0.1014,-0.36319,0.20443
"18VC",-0.21745,0.25822,-0.18565,-0.21756,0.96907,-0.12125,-0.08212,-0.23358,0.15253,-0.32221
"19COL",0.43245,-0.46457,0.40519,-0.27828,-0.12125,0.64716,-0.18327,0.06484,-0.3009,-0.20139
"19CS",-0.28952,0.05183,-0.39434,-0.08294,-0.08212,-0.18327,0.63742,-0.14734,0.33018,0.16011
"19HAY",-0.03539,-0.26996,0.17576,-0.1014,-0.23358,0.06484,-0.14734,0.69967,-0.09096,-0.06165
"19TA",-0.37401,-0.19816,-0.42346,-0.36319,0.15253,-0.3009,0.33018,-0.09096,0.99071,0.27726
"19VC",-0.39199,-0.23768,-0.46865,0.20443,-0.32221,-0.20139,0.16011,-0.06165,0.27726,1.04177
