"","18COL","18CS","18GC","18RF","18VC","19COL","19CS","19HAY","19TA","19VC"
"18COL",1.30254,-0.48626,1.00865,-0.36451,-0.50434,0.66877,-0.53923,0.25548,-0.69955,-0.64154
"18CS",-0.48626,1.25039,-0.648,-0.10078,0.37211,-0.22733,0.21476,-0.48302,0.24743,-0.1393
"18GC",1.00865,-0.648,1.15871,-0.21285,-0.38512,0.45671,-0.60228,0.15446,-0.56661,-0.36367
"18RF",-0.36451,-0.10078,-0.21285,1.24486,0.23373,-0.48775,-0.22032,-0.3881,0.1622,0.13351
"18VC",-0.50434,0.37211,-0.38512,0.23373,0.69023,-0.47212,-0.0017,-0.40009,0.3043,0.16299
"19COL",0.66877,-0.22733,0.45671,-0.48775,-0.47212,0.92168,-0.268,0.46351,-0.58208,-0.47339
"19CS",-0.53923,0.21476,-0.60228,-0.22032,-0.0017,-0.268,0.97145,-0.06646,0.41534,0.09644
"19HAY",0.25548,-0.48302,0.15446,-0.3881,-0.40009,0.46351,-0.06646,0.81093,-0.28065,-0.06606
"19TA",-0.69955,0.24743,-0.56661,0.1622,0.3043,-0.58208,0.41534,-0.28065,0.67891,0.32072
"19VC",-0.64154,-0.1393,-0.36367,0.13351,0.16299,-0.47339,0.09644,-0.06606,0.32072,0.9703
